beach_id,grad,udaljenost_km
375,Omišalj,2.55
376,Omišalj,2.99
377,Omišalj,3.87
378,Omišalj,1.86
379,Omišalj,4.34
380,Opatija,1.05
381,Opatija,0.74
382,Opatija,0.2
383,Opatija,0.24
384,Opatija,0.85
385,Opatija,3.76
386,Opatija,1.43
387,Opatija,2.98
388,Opatija,2.89
389,Opatija,0.33
390,Opatija,1.59
391,Opatija,0.46
392,Opatija,0.33
393,Opatija,0.59
394,Opatija,1.23
395,Opatija,2.25
396,Opatija,2.0
397,Opatija,1.84
398,Opatija,2.19
399,Opatija,2.0
400,Opatija,1.85
401,Opatija,1.3
402,Punat,3.23
403,Punat,0.78
404,Punat,1.22
405,Rab,1.1
406,Rab,0.14
407,Rab,1.76
408,Rab,5.47
409,Rab,1.4
410,Rab,1.96
411,Rab,0.35
412,Rab,3.02
413,Rab,2.6
414,Rab,2.7
415,Rab,2.83
416,Rab,3.15
417,Rab,0.8
418,Rab,0.43
419,Rab,0.72
420,Rab,1.14
421,Rijeka,6.47
422,Rijeka,8.29
423,Rijeka,7.05
424,Rijeka,7.64
425,Rijeka,7.29
426,Rijeka,2.9
427,Rijeka,5.71
428,Rijeka,5.85
429,Rijeka,6.16
430,Rijeka,4.77
431,Rijeka,4.54
432,Rijeka,5.54
433,Rijeka,4.87
434,Rijeka,1.93
435,Rijeka,8.73
436,Rijeka,9.05
437,Rijeka,9.16
438,Rijeka,2.67
439,Rijeka,2.09
440,Karlobag,0.46
441,Senj,12.6
442,Karlobag,0.47
443,Karlobag,4.26
444,Novalja,2.7
445,Novalja,2.66
446,Novalja,6.78
447,Novalja,0.56
448,Novalja,1.47
449,Novalja,3.73
450,Novalja,1.94
451,Novalja,12.46
452,Novalja,2.89
453,Novalja,3.07
454,Novalja,8.18
455,Senj,13.28
456,Senj,12.24
457,Senj,19.38
458,Senj,2.75
459,Senj,9.13
460,Senj,6.92
461,Bibinje,0.68
462,Biograd n/m,1.16
463,Biograd n/m,0.37
464,Biograd n/m,1.49
465,Biograd n/m,0.71
466,Sali,30.16
467,Molat,0.69
468,Pašman,1.17
469,Benkovac,10.96
470,Pakoštane,2.3
471,Sali-Verunić,0.0
472,Ist,0.43
473,Kali,0.32
474,Zadar,5.71
475,Zadar,8.0
476,Obrovac,6.42
477,Sali,7.17
