beach_id,marina_id,udaljenost_km
125,node/517872826,9.67
125,node/517904544,8.82
125,node/579792962,6.5
125,node/579794631,3.56
125,node/673411579,3.63
125,node/1860020712,6.84
125,node/2951332985,6.88
125,node/12409171546,2.55
125,node/13507759987,7.97
126,node/482841052,9.99
126,node/1747950843,5.15
127,node/482841052,9.89
127,node/1747950843,4.97
128,node/482841052,9.3
128,node/1419109827,9.89
128,node/1747950843,3.96
129,node/482841052,9.45
129,node/1419109827,9.92
129,node/1747950843,4.14
130,node/11469851119,9.83
131,node/418342927,4.39
132,node/418342927,5.18
133,node/418342927,3.86
134,node/418342927,0.47
135,node/418342927,0.37
136,node/418342927,0.43
137,node/418342927,0.35
138,node/418342927,0.43
139,node/431088510,2.55
139,node/497549320,9.37
139,node/517872826,5.32
139,node/517904544,4.57
139,node/579794631,7.96
139,node/673411579,8.29
139,node/1449508274,5.82
139,node/1860020712,2.36
139,node/12409171546,2.72
139,node/13507759987,3.41
140,node/431088510,3.02
140,node/497549320,9.85
140,node/517872826,5.78
140,node/517904544,5.04
140,node/579794631,7.56
140,node/673411579,8.01
140,node/1449508274,6.29
140,node/1860020712,2.83
140,node/12409171546,2.61
140,node/13507759987,3.85
141,node/431088510,3.15
141,node/497549320,9.96
141,node/517872826,5.94
141,node/517904544,5.18
141,node/579794631,7.37
141,node/673411579,7.79
141,node/1449508274,6.43
141,node/1860020712,2.98
141,node/12409171546,2.4
141,node/13507759987,4.02
142,node/431088510,2.79
142,node/497549320,9.55
142,node/517872826,5.59
142,node/517904544,4.8
142,node/579794631,7.61
142,node/673411579,7.86
142,node/1449508274,6.07
142,node/1860020712,2.64
142,node/12409171546,2.26
142,node/13507759987,3.73
143,node/431088510,2.67
143,node/497549320,9.37
143,node/517872826,5.47
143,node/517904544,4.67
143,node/579794631,7.68
143,node/673411579,7.82
143,node/1449508274,5.95
143,node/1860020712,2.55
143,node/12409171546,2.14
143,node/13507759987,3.66
144,node/431088510,2.27
144,node/497549320,8.96
144,node/517872826,5.07
144,node/517904544,4.26
144,node/579794631,8.07
144,node/673411579,8.14
144,node/1449508274,5.54
144,node/1860020712,2.16
144,node/12409171546,2.4
144,node/13507759987,3.28
145,node/431088510,3.33
145,node/517872826,6.12
145,node/517904544,5.35
145,node/579792962,9.92
145,node/579794631,7.15
145,node/673411579,7.56
145,node/1449508274,6.61
145,node/1860020712,3.16
145,node/12409171546,2.2
145,node/13507759987,4.22
146,node/482841052,8.36
146,node/1747950843,0.27
147,node/482841052,8.14
147,node/1747950843,0.04
148,node/482841052,8.06
148,node/1747950843,0.15
149,node/1394720950,3.92
149,node/1599814456,1.87
149,node/10280266203,5.21
149,node/11833156908,6.48
150,node/1394720950,4.16
150,node/1599814456,1.63
150,node/10280266203,4.96
150,node/11833156908,6.73
151,node/1394720950,1.72
151,node/1599814456,4.27
151,node/2008968277,8.23
151,node/10280266203,7.59
151,node/11483245295,8.38
151,node/11833156908,4.05
152,node/1394720950,1.52
152,node/1599814456,4.41
152,node/2008968277,8.05
152,node/10280266203,7.74
152,node/11483245295,8.2
152,node/11833156908,3.93
153,node/1394720950,2.44
153,node/1599814456,3.59
153,node/2008968277,8.96
153,node/10280266203,6.89
153,node/11483245295,9.11
153,node/11833156908,4.72
154,node/1394720950,2.24
154,node/1599814456,3.97
154,node/2008968277,8.67
154,node/10280266203,7.26
154,node/11483245295,8.82
154,node/11833156908,4.35
155,node/1394720950,2.35
155,node/1599814456,3.8
155,node/2008968277,8.82
155,node/10280266203,7.09
155,node/11483245295,8.97
155,node/11833156908,4.52
156,node/1394720950,6.05
156,node/2008968277,1.25
156,node/11483245295,1.38
156,node/11833156908,3.81
157,node/1394720950,6.07
157,node/2008968277,1.12
157,node/11483245295,1.26
157,node/11833156908,3.87
158,node/1394720950,6.07
158,node/2008968277,0.96
158,node/11483245295,1.1
158,node/11833156908,3.94
159,node/482841052,6.37
159,node/1419109827,3.54
159,node/1747950843,8.29
159,node/4252915096,8.31
160,node/1394720950,0.56
160,node/1599814456,5.24
160,node/2008968277,7.14
160,node/10280266203,8.57
160,node/11483245295,7.28
160,node/11833156908,3.41
161,node/1394720950,0.43
161,node/1599814456,5.68
161,node/2008968277,6.7
161,node/10280266203,9.0
161,node/11483245295,6.84
161,node/11833156908,3.25
162,node/1394720950,0.28
162,node/1599814456,5.89
162,node/2008968277,6.48
162,node/10280266203,9.22
162,node/11483245295,6.62
162,node/11833156908,2.98
163,node/1394720950,0.57
163,node/1599814456,5.38
163,node/2008968277,7.01
163,node/10280266203,8.7
163,node/11483245295,7.14
163,node/11833156908,3.46
164,node/418342927,2.74
165,node/418342927,2.21
166,node/1599814456,9.76
166,node/10280266203,6.47
166,node/11469851119,8.75
