beach_id,marina_id,udaljenost_km
260,node/3688555226,7.96
261,node/1628350131,5.33
261,node/3688555226,7.72
262,node/1628350131,5.25
262,node/3688555226,7.25
263,node/1628350131,5.27
263,node/3688555226,7.35
264,node/1628350131,7.16
265,node/1628350131,5.63
265,node/3688555226,8.63
266,node/1628350131,5.9
266,node/3688555226,8.93
267,node/1628350131,5.24
267,node/3688555226,6.51
268,node/904044259,9.12
268,node/1628350131,8.24
268,node/3688555226,0.54
269,node/904044259,8.18
269,node/1628350131,6.77
269,node/3688555226,0.94
270,node/904044259,8.58
270,node/1628350131,7.49
270,node/3688555226,0.23
271,node/904044259,9.54
271,node/1628350131,5.36
271,node/3688555226,4.35
272,node/904044259,9.29
272,node/1628350131,5.49
272,node/3688555226,3.79
273,node/1628350131,5.16
273,node/3688555226,5.76
274,node/1628350131,6.35
274,node/3688555226,9.48
275,node/1628350131,5.19
275,node/3688555226,6.12
276,node/1628350131,5.21
276,node/3688555226,5.54
277,node/1628350131,7.33
278,node/1628350131,6.15
278,node/3688555226,9.23
279,node/1628350131,5.31
279,node/3688555226,6.73
280,node/1628350131,5.5
280,node/3688555226,8.44
281,node/904044259,9.52
281,node/1628350131,5.43
281,node/3688555226,4.23
282,node/1628350131,7.48
283,node/1628350131,7.46
284,node/1628350131,7.89
285,node/702191952,6.71
285,node/904044259,4.54
285,node/1086060431,9.05
285,node/1086060490,8.66
285,node/1628350131,1.72
285,node/3688555226,7.9
286,node/702191952,8.12
286,node/904044259,6.13
286,node/1628350131,0.19
286,node/3688555226,7.85
287,node/702191952,7.14
287,node/904044259,5.5
287,node/1086060431,9.56
287,node/1086060490,9.08
287,node/1628350131,1.19
287,node/3688555226,8.47
288,node/1613711110,1.43
288,node/1613711217,1.78
288,node/4463320622,8.65
289,node/1613711110,2.94
289,node/1613711217,3.3
290,node/1613711110,2.26
290,node/1613711217,2.62
290,node/4463320622,9.44
291,node/1613711110,1.17
291,node/1613711217,1.54
291,node/4463320622,8.51
292,node/1613711110,8.89
292,node/1613711217,9.26
292,node/3688555226,6.6
293,node/1613711110,7.93
293,node/1613711217,8.3
293,node/3688555226,6.94
294,node/1613711110,8.44
294,node/1613711217,8.81
294,node/3688555226,6.01
295,node/1613711110,8.0
295,node/1613711217,8.37
295,node/3688555226,6.51
296,node/1613711110,8.54
296,node/1613711217,8.91
296,node/3688555226,6.7
297,node/3688555226,4.21
298,node/3688555226,4.12
299,node/5010237538,7.86
300,node/5010237538,9.11
301,node/5010237538,8.54
302,node/5010237538,8.27
304,node/5010237538,7.57
305,node/5010237538,7.92
306,node/5010237538,7.99
308,node/5010237538,9.5
310,node/5010237538,8.73
311,node/293728328,8.88
311,node/2515514855,4.23
311,node/2523589734,0.67
311,node/3618305310,2.65
311,node/5905768224,7.74
311,node/12989448826,4.25
311,node/12989448827,4.33
312,node/293728328,8.79
312,node/2515514855,4.75
312,node/2523589734,0.2
312,node/3618305310,2.37
312,node/5905768224,7.34
312,node/12989448826,4.77
312,node/12989448827,4.85
313,node/293728328,8.71
313,node/2515514855,5.46
313,node/2523589734,0.59
313,node/3618305310,2.12
313,node/5905768224,6.83
313,node/12989448826,5.48
313,node/12989448827,5.56
314,node/293728328,9.75
314,node/2515514855,3.98
314,node/2523589734,1.23
